22-rdf-syntax-ns#type_0;22-rdf-syntax-ns#type_1;22-rdf-syntax-ns#type_2;22-rdf-syntax-ns#type_3;22-rdf-syntax-ns#type_4;22-rdf-syntax-ns#type_5;added_0;added_1;architect_0;architecture_0;area_0;caption_0;governingBody_0;latDegrees_0;latDirection_0;latMinutes_0;latSeconds_0;location_0;location_1;location_2;locmapin_0;longDegrees_0;longDirection_0;longMinutes_0;longSeconds_0;name_0;name_1;nrhpReferenceNumber_0;nrhpType_0;refnum_0;wgs84_pos#lat_0;wgs84_pos#long_0
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1974-10-09;1974-10-09;;;;The 1790 House;;;;;;Woburn,_Massachusetts;Woburn,_Massachusetts;827;;;;;;1790;1790 House;74000381;;74000381;42.50277777777778;-71.15805555555555
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-03-30;;;;;;;;;;;;;;;;;;;181.0;181st Street Subway Station (IND);05000233;;;40.850891;-73.938289
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-03-30;;;;;;;;;;;;;;;;;;;181.0;181st Street Subway Station (IRT);05000224;;;40.849;-73.933
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2003-06-05;2003-06-05;;;;;Local government;28;N;29;35;Florida;Windermere,_Florida;Florida;Florida;81;W;32;7;1890;1890 Windermere School;03000509;;3000509;28.493055555555557;-81.53527777777778
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1991-09-09;;;;;;;;;;;Kansas_City,_MO;Kansas_City,_Missouri;;;;;;;18th and Vine Historic District;;84004142;;;39.091111;-94.5625
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-03-30;;;;;;;;;;;;;;;;;;;190;"190th Street Subway Station (IND) (a.k.a.; 190th Street Overlook Terrace Subway Station (IND))";05000225;;;40.858986;-73.93404
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;2011-04-20;2011-04-20;;;;;;;;;;;;;;;;;;1948;B-29 Serial No. 45-21847;11000212;;11000212;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;;;;;;;Private;30;N;41;52;Mobile,_Alabama;Mobile,_Alabama;;;88;W;8;30;19;19th Century Spring Hill Neighborhood Thematic Resource;64000005;;64000005;30.697777777777777;-88.14166666666667
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;2010-11-05;2010-11-05;;;;;;;;;;La_Crosse,_Wisconsin;La_Crosse,_Wisconsin;;;;;;;23;23rd and 24th Streets Historic District;10000839;;10000839;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2006-06-07;2006-06-07;James_Bogardus;Renaissance_Revival_architecture;;;Private;40;N;43;6;Canal_Street_(Manhattan);Manhattan;New_York_City;New York City;74;W;0;5;254;254-260 Canal Street;06000475;;6000475;40.718333333333334;-74.00138888888888
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2009-06-11;2009-06-11;;Various;;Crouch Memorial Church in 27th Street Historic District;Private;34;N;1;6;California;Los_Angeles;900;Los Angeles;118;W;15;25;27;27th Street Historic District;09000399;hd;9000399;34.01833333333333;-118.25694444444444
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-03-30;;;;;;;;;;;;;;;;;;;28;West 28th Street Subway Station (Dual System IRT);05000235;;;40.747;-73.993
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-03-30;;;;;;;;;;;;;;;;;;;28;28th Street Subway Station (IRT);05000230;;;40.74329;-73.984165
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2004-09-17;;;;;;;;;;;;;;;;;;;33;33rd Street Subway Station (IRT);04001014;;;40.74638888888889;-73.98194444444445
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1990-04-23;1990-04-23;Frew,William;Other;;;National_Park_Service;43;N;40;3;Grand_Teton_National_Park;Jackson_Hole;Teton_County,_Wyoming;Wyoming;110;W;42;27;4;4 Lazy F Dude Ranch;90000611;hd;90000611;43.6675;-110.7075
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2009-06-11;2009-06-11;;American_Craftsman;;Charlotta Bass House, 697 E. 52nd Place;;33;N;59;41;Los_Angeles;Los_Angeles,_California;639;Los Angeles;118;W;15;46;52;52nd Place Historic District;09000398;hd;9000398;33.99472222222222;-118.26277777777777
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2004-09-17;;;;;;;;;;;;;;;;;;;59;"59th Street &ndash; Columbus Circle (IRT)";04001015;;;40.767997;-73.981934
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2003-04-02;2003-04-02;;;;Route 66 Drive-in in Carthage, Missouri.;Private;;;;;Carthage,_Missouri;17231;;Missouri;;;;;66;66 Drive-In;03000182;;3000182;37.1741;-94.3689
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1980-05-06;;;;;;;;;;;;;;;;;;;72;Control House on 72nd Street;80002684;;;40.779;-73.982
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2004-09-17;;;;;;;;;;;;;;;;;;;79;79th Street Subway Station (IRT);04001018;;;40.784;-73.98
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-03-30;;;;;;;;;;;;;;;;;;;86;86th Street Subway Station (Dual System IRT);05000236;;;40.779469;-73.955626
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2007-01-25;2007-01-25;Cass_Gilbert;Skyscraper;less than one acre;"with buildings 1, 2 and 3 of the WTC in the background;  the North Tower  is behind Marriott World Trade Center";Private;40;N;42;36;New_York,_New_York;New_York_City;90;New York City;74;W;0;53;West Street Building;West Street Building;06001303;;6001303;40.71;-74.01472222222222
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2008-07-16;2008-07-16;;Colonial Revival;4855.8770688;;Private;30;N;9;39;Panama_City,_Florida;940;;Florida;85;W;40;24;A. A. Payne-John Christo, Sr., House;A. A. Payne-John Christo, Sr., House;08000671;;8000671;30.160888888888888;-85.67341666666667
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1980-03-03;1980-03-03;Samuel_Hannaford;Victorian_architecture;;Front of the house;;;;;;Cincinnati;Cincinnati,_Ohio;Ohio;;;;;;A. E. Burckhardt House;A. E. Burckhardt House;80003038;;80003038;39.136111;-84.503056
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1995-11-07;;;;4046.564224;;;;;;;Commercial_Township,_New_Jersey;;;;;;;;A.J. Meerwald;;95001256;;;39.234722222222224;-75.03055555555555
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1980-03-03;1980-03-03;Samuel_Hannaford;Late Victorian and Other;;Front of the house;;;;;;Cincinnati;Cincinnati,_Ohio;Ohio;;;;;;A. M. Detmer House;A. M. Detmer House;80003046;;80003046;39.136007;-84.502435
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2000-07-14;2000-07-14;;Colonial_Revival_architecture;;;;27;N;43;2;Florida;Ruskin,_Florida;Florida;Florida;82;W;26;10;A. P. Dickman House;A. P. Dickman House;00000786;;786;27.717222222222222;-82.43611111111112
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1990-04-23;1990-04-23;"Kosmak,George W.; Et al.";Other;;;National_Park_Service;43;N;56;20;Grand_Teton_National_Park;Jackson_Hole;Teton_County,_Wyoming;Wyoming;110;W;38;30;AMK Ranch;AMK Ranch;90000615;hd;90000615;43.93888888888889;-110.64166666666667
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2009-10-22;2009-10-22;John_Terrence_Kelly;;182095.39008;;Private;41;N;27;36;Russell_Township,_Geauga_County,_Ohio;9639;;Ohio;81;W;17;56;ASM Headquarters and Geodesic Dome;ASM Headquarters and Geodesic Dome;09000849;;9000849;41.46;-81.29888888888888
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1978-12-04;1978;;Federal_architecture;;;Private;41;N;29;49;Bay_Village,_Ohio;Ohio;Bay_Village,_Ohio;Ohio;81;W;57;28;Aaron Aldrich House;Aaron Aldrich House;78002033;;78002033;41.49689444444444;-81.95768055555556
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1989-09-28;1989-09-28;Unknown;Queen Anne;;;Private;42;N;21;45;Waltham,_Massachusetts;Waltham,_Massachusetts;;Massachusetts;71;W;14;20;Aaron Martin House;Aaron Martin House;89001540;;89001540;42.3625;-71.2388888888889
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-10-07;1983-10-07;;No Style Listed;;;Private;42;N;4;47;Uxbridge,_Massachusetts;Uxbridge,_Massachusetts;;Massachusetts;71;W;39;7;Aaron Taft House;Aaron Taft House;83004134;;83004134;42.07972222222222;-71.65194444444444
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1990-03-09;1990-03-09;Unknown;Colonial, Other;;;Private;42;N;38;15;Andover,_Massachusetts;Andover,_Massachusetts;;Massachusetts;71;W;7;20;Abbot-Stinson House;Abbot-Stinson House;90000190;;90000190;42.6375;-71.12222222222222
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1982-06-10;1982-06-10;Unknown;Georgian;;;Private;42;N;39;51;Andover,_Massachusetts;Andover,_Massachusetts;;Massachusetts;70;W;55;4;Abbot Tavern;Abbot Tavern;82004810;;82004810;42.66416666666667;-70.91777777777777
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1984-07-10;1984-07-10;Clodfelter,Joseph;;8093.128448;;Private;36;N;0;20;;;;North Carolina;80;W;5;1;Abbott's Creek Primitive Baptist Church Cemetery;Abbott's Creek Primitive Baptist Church Cemetery;84001982;;84001982;36.00555555555555;-80.08361111111111
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1972-08-25;1979-05-17;;;1618.6256896;;State;38;N;53;10;;;;Delaware;75;W;28;36;Abbott's Mill;Abbott's Mill;72000300 and 79003788;;72000300;38.88611111111111;-75.47666666666667
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;1976-12-08;1976-12-08;;;;;Private;;;;;Trenton,_New_Jersey;Trenton,_New_Jersey;;New Jersey;;;;;Abbott Farm Historic District;Abbott Farm Historic District;76001158;nhld;76001158;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-07-21;1983-07-21;;;1335366.19392;House in the district;Local;29;N;54;4;Florida;St._Augustine,_Florida;Florida;Florida;81;W;18;50;Abbott Tract Historic District;Abbott Tract Historic District;83001438;hd;83001438;29.90111111111111;-81.31388888888888
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-12-15;1983-12-15;;;;Corner of Abell Ave. and 33rd St.;;39;N;19;28;Baltimore;Maryland;Baltimore;Maryland;76;W;36;39;"Charles Village &ndash; Abell Historic District";"Charles Village &ndash; Abell Historic District";83003629;hd;83003629;39.32447222222222;-76.61094444444444
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1974-07-15;1974-07-15;;;;;Private;38;N;39;11;Along High Street at the eastern end of the village;;;Ohio;83;W;45;43;Aberdeen Mound;Aberdeen Mound;74001401;;74001401;38.653055555555554;-83.76194444444444
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-06-06;1983-06-06;;Other;;;Private;41;N;53;20;Rehoboth,_Massachusetts;Rehoboth,_Massachusetts;;Massachusetts;71;W;16;29;Abiah Bliss House;Abiah Bliss House;83000625;;83000625;41.888888888888886;-71.27472222222222
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1989-06-08;1989-06-08;Aiken, Abraham;Georgian;16186.256896;;Private;44;N;20;36;Willsboro,_New_York;NY 22/Lakeshore Rd., Willsboro, New York;;New York;73;W;21;46;Abraham Aiken House;Abraham Aiken House;89000465;;89000465;44.343333333333334;-73.36277777777778
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1973-07-24;1973-07-24;Unknown;Federal;;;Private;39;N;29;7;Libertytown,_Maryland;Main St., Libertytown, Maryland;;Maryland;77;W;14;24;Abraham Jones House;Abraham Jones House;73000917;;73000917;39.485277777777775;-77.24
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-01-10;1983-01-10;;;6879.1591808;;Private;41;N;2;40;Mahwah,_New_Jersey;86;;New Jersey;74;W;9;59;Abraham Van Gelder House;Abraham Van Gelder House;83001569;;83001569;41.044444444444444;-74.16638888888889
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2006-11-21;2006-11-21;Nathaniel C. Austin;Italianate_architecture;;;Edinboro_University_of_Pennsylvania;41;N;52;19;Edinboro,_Pennsylvania;Edinboro_University_of_Pennsylvania;Pennsylvania;Pennsylvania;80;W;7;41;Academy Hall;Academy Hall;06001055;;6001055;41.87202777777778;-80.12811111111111
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1999-04-29;1999-04-29;;;256956.828224;Huff Mansion / YWCA;Local;40;N;18;39;Greensburg,_Pennsylvania;Greensburg,_Pennsylvania;;Pennsylvania;79;W;32;42;Academy Hill Historic District;Academy Hill Historic District;99000516;hd;99000516;40.310833333333335;-79.545
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1990-01-04;1990-01-04;;Colonial Revival, Bungalow/craftsman, Queen Anne;169955.697408;;Local;40;N;59;19;Stroudsburg,_Pennsylvania;Roughly bounded by Sarah, 8th, Fulmer and 5th Sts., Stroudsburg, Pennsylvania;;Pennsylvania;75;W;11;42;Academy Hill Historic District;Academy Hill Historic District;89002258;hd;89002258;40.98861111111111;-75.195
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1979-04-20;1979-04-20;Multiple;Mid 19th Century Revival, Late Victorian;;The Old Meeting House;Local;42;N;7;29;Wilbraham,_Massachusetts;Wilbraham,_Massachusetts;;Massachusetts;72;W;25;56;Academy Historic District;Academy Historic District;79000351;hd;79000351;42.124722222222225;-72.43222222222222
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;1966-10-15;1966-10-15;;;;;National_Park_Service;;;;;;;;Maryland;;;;;Accokeek Creek Site;Accokeek Creek Site;66000909;nhl;66000909;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-01-10;1983-01-10;;;less than one acre;;Private;40;N;58;29;Ridgewood,_New_Jersey;252;;New Jersey;74;W;8;5;Ackerman House;Ackerman House;83001451;;83001451;40.97472222222222;-74.13472222222222
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1992-02-20;1992-02-20;;Federal;61507.7762048;Aquinsicke Today;Private;38;N;36;30;;;;Maryland;77;W;2;14;Acquinsicke;Acquinsicke;92000070;;92000070;38.608333333333334;-77.03722222222223
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-03-10;1983-03-10;Hartwell_and_Richardson;Greek Revival, Federal;;;Private;42;N;29;11;Acton,_Massachusetts;Acton,_Massachusetts;;Massachusetts;71;W;25;58;Acton Centre Historic District;Acton Centre Historic District;83000780;hd;83000780;42.48638888888889;-71.43277777777777
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1989-12-01;1989-12-01;Multiple;Mid 19th Century Revival, Colonial Revival, Late Victorian;;;Local;41;N;38;52;New_Bedford,_Massachusetts;New_Bedford,_Massachusetts;;Massachusetts;70;W;55;53;Acushnet Heights Historic District;Acushnet Heights Historic District;89002035;hd;89002035;41.647777777777776;-70.93138888888889
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1966-10-15;1966-10-15;Thoroughgood, Adam;Central-passage_house;;End gable of Thoroughgood House, before 1957 restoration, photo from Historic American Buildings Survey;Local;36;N;53;36;Virginia_Beach,_Virginia;Virginia_Beach,_Virginia;1636;Virginia;76;W;6;47;Thoroughgood House;Thoroughgood House;66000921;nhl;66000921;36.89333333333333;-76.11305555555556
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2006-09-29;2006-09-29;;Classical Revival, Late Victorian;24279.385344;Adams Commercial Historic District, July 2010;Local;43;N;48;32;Adams_(village),_New_York;Main and North Main Sts. and portions of East and West Church Sts., Adams, New York;;New York;76;W;1;28;Adams Commercial Historic District;Adams Commercial Historic District;06000882;hd;6000882;43.80888888888889;-76.02444444444444
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1982-03-09;1982-03-09;Arthur_Peabody;;;;Friendship,_Wisconsin;43;N;58;15;Friendship,_Wisconsin;Friendship,_Wisconsin;402;Wisconsin;89;W;48;55;Adams County Courthouse;Adams County Courthouse;82000627;;82000627;43.970816666666664;-89.81518055555556
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1974-10-17;1974-10-17;;;708148.7392;;Private;38;N;36;48;Ohio;U.S._Route_52;North of U.S. Route 52 near Sandy Springs, Ohio;Ohio;83;W;17;39;Adams County Paleo-Indian District;Adams County Paleo-Indian District;74001389;;74001389;38.61333333333333;-83.29416666666667
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1999-02-05;1999;;Other;;;Local;39;N;37;27;;;;Ohio;82;W;1;58;Adams Covered Bridge;Adams Covered Bridge;99000093;;99000093;39.62416666666667;-82.03277777777778
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1988-11-10;1988-11-10;;Colonial Revival, Greek Revival, Late Victorian;;;Private;38;N;11;35;;;;Maryland;76;W;1;48;Adams Farm;Adams Farm;88002140;;88002140;38.19305555555555;-76.03
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2005-12-06;2005-12-06;Link_&_Haire;;;;State;46;N;22;7;1;;;Montana;104;W;16;28;Baker Hotel;Baker Hotel;04001435;;4001435;46.368611111111115;-104.27444444444444
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2004-08-11;2004;;Italianate and Colonial Revival;;The school at night;Private;41;N;2;31;Findlay,_Ohio;Ohio;Findlay,_Ohio;;83;W;39;43;Adams School;Adams School;4000832;;4000832;41.04190833333333;-83.66188888888888
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;2000-03-15;2000-03-15;;Bungalow/Craftsman, Folk Victorian;56651.899136;;Private;;;;;Franklin,_Tennessee;1112;;Tennessee;;;;;Adams Street Historic District;Adams Street Historic District;00000233;hd;233;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1985-09-27;1985-09-27;Unknown;Greek Revival, Italianate;;;Private;42;N;25;22;Arlington,_Massachusetts;Arlington,_Massachusetts;;Massachusetts;71;W;10;52;Addison Hill House;Addison Hill House;85002682;;85002682;42.422777777777775;-71.18111111111111
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1973-10-30;1973;Joseph Ireland;Italianate, Stick-Eastlake and Romanesque;;Adelbert Hall;Private;41;N;30;18;Cleveland;Cleveland,_Ohio;Ohio;Ohio;81;W;36;30;Adelbert Hall;Adelbert Hall;73001405;;73001405;41.505;-81.60833333333333
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1988-12-14;;;;;;;;;;;Scioto_County,_Ohio;;;Mississippi;;;;;Aden Site;Aden Site;88002698;;;32.636969;-90.836339
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1975-06-05;1975-06-05;;;5665.1899136;Pre-1914 view of the mound;Private;39;N;21;21;Ohio;Ross_County,_Ohio;Ohio;Ohio;83;W;0;33;Adena Mound;Adena Mound;75001529;;75001529;39.35592777777778;-83.00906111111111
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1995-04-20;1995-04-20;"Coulter, W. L.; et al.";Late Victorian, Late 19th And 20th Century Revivals;;The Administration Building;Private;44;N;20;31;;;;New York;74;W;7;21;Trudeau Sanatorium;Trudeau Sanatorium;95000479;hd;95000479;44.341944444444444;-74.1225
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1978-05-22;1978-05-22;;;;;Local government;35;N;53;23;Hutchinson_County,_Texas;Hutchinson_County,_Texas;;Texas;101;W;9;29;Adobe Walls, Texas;Adobe Walls, Texas;78002958;;78002958;35.889722222222225;-101.15805555555555
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;1987-01-21;1987-01-21;;;;Southwestern side of the pueblito;Bureau_of_Land_Management;;;;;New_Mexico;Rio_Arriba_County,_New_Mexico;New_Mexico;;;;;;Adolf Canyon Site;Adolf Canyon Site (LA 5665);86003605;;86003605;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2004-03-31;2004-03-31;;;31158.5445248;African Cemetery No. 2;Private;38;N;3;1;Kentucky;Lexington,_Kentucky;Kentucky;Kentucky;84;W;28;41;African Cemetery No. 2;African Cemetery No. 2;04000245;nrhp;4000245;38.05013888888889;-84.47805555555556
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1982-12-16;1982;;;;Gravestones in the cemetery;Private;40;N;9;25;Ohio;Piqua,_Ohio;Ohio;Ohio;84;W;14;7;African Jackson Cemetery;African Jackson Cemetery;82001475;;82001475;40.15694444444444;-84.23527777777778
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;1974-02-15;1974-02-15;;;;;Private;;;;;;;;Wyoming;;;;;Agate Basin Site;Agate Basin Site;74002029;;74002029;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1975-10-06;1975-10-06;;;;;National Park Service;34;N;48;18;;;;Arizona;109;W;51;40;Agate House Pueblo;Agate House Pueblo;75000170;;75000170;34.805;-109.86111111111111
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;2001-06-21;2001-06-21;"Coolidge & Carson; Johnson, Paul B.";Georgian, Federal;;Agawam Historical and Fire House Museum;Local;42;N;4;0;Agawam,_Massachusetts;Agawam,_Massachusetts;;Massachusetts;72;W;37;5;Agawam Center Historic District;Agawam Center Historic District;01000670;hd;1000670;42.06666666666667;-72.61805555555556
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;1988-03-25;1988-03-25;;;;;;;;;;;;;;;;;;Agger Rockshelter;Agger Rockshelter;87002239;;87002239;;
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1978-12-14;1978;;Federal_architecture;;;Private;40;N;1;29;;;;Ohio;82;W;56;2;Agler-La Follette House;Agler-La Follette House;78002062;;78002062;40.02459722222222;-82.93386111111111
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;_Feature;owl#Thing;1983-08-18;1983-08-18;"Geisy, M.F.; Reger, Carl";Late Victorian;4046.564224;;Private;38;N;59;22;Buckhannon,_West_Virginia;West Virginia Wesleyan College Campus, Buckhannon, West Virginia;;West Virginia;80;W;13;13;Agnes Howard Hall;Agnes Howard Hall;83003253;;83003253;38.989444444444445;-80.22027777777778
HistoricPlace;Place;LandmarksOrHistoricalBuildings;Place;owl#Thing;;1985-06-27;1985-06-27;Arthur_Peabody;Colonial_Revival_architecture;;Agricultural Engineering Building;;;;;;Madison,_Wisconsin;Madison,_Wisconsin;460;;;;;;Agricultural Engineering Building;Agricultural Engineering Building;85001404;;85001404;;
