22-rdf-syntax-ns#type_0;22-rdf-syntax-ns#type_1;22-rdf-syntax-ns#type_2;22-rdf-syntax-ns#type_3;22-rdf-syntax-ns#type_4;22-rdf-syntax-ns#type_5;22-rdf-syntax-ns#type_6;22-rdf-syntax-ns#type_7;alias_0;birthDate_0;birthDate_1;birthPlace_0;birthPlace_1;birthPlace_2;birthPlace_3;country_0;country_1;dateOfBirth_0;description_0;ethnicity_0;ethnicity_1;eyeColor_0;gender_0;givenName_0;hairColor_0;id_0;id_1;name_0;name_1;name_2;name_3;numberOfFilms_0;occupation_0;placeOfBirth_0;placeOfBirth_1;shortDescription_0;surname_0;weight_0
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Adrenalynn;1985-07-08;1985-07-08;Dallas;Dallas,_Texas;United_States;Allen,_Texas;;;1985-07-08;S;;;;female;Adriana;Brown;46884;Adrenalynn;Adrena Lynn;Lynn, Adriana;Adrena Lynn;Adriana Lynn;18;;Dallas;Dallas,_Texas;S;Lynn;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Adrianna Nichole, Seven, Petal Benson, Petal;1981-03-25;;San_Francisco;San_Francisco,_California;United_States;San_Francisco;;;1977;American pornographic actor;Caucasian;;;female;Adrianna;Blonde;39002;AdriannaNicole;Adrianna Nicole;Nicole, Adrianna;Adrianna Nicole;;293;;San_Francisco;San_Francisco,_California;American pornographic actor;Nicole;57.0
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Audrey \Ady\ An;1980-09-29;;Republic_of_China;Taipei;Taiwan;Republic_of_China;China;People's_Republic_of_China;1980;;Han_Chinese;;;;Yixuan;;;;An Yixuan;An, Yixuan;An Yixuan;Yixuan An;;Actress, singer;Republic_of_China;Taipei;;An;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1976-08-31;1976-08-31;Malaysia;Penang;Malaysia;Penang;China;People's_Republic_of_China;1976-08-31;Singer;;;;;Niu;;;;Ah, Niu;Niu Ah;ā Niú;阿牛;;Actor;Malaysia;Penang;Singer;Ah;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1989-09-22;1989-09-22;Japan;Tokyo;Japan;Tokyo;;;1989-09-22;AV idol;Japanese_people;Japanese_people;Brown;;;Red / Dirty blonde;;;Ai Haneda;Ai Haneda;;;;;Japan;Tokyo;AV_idol;;49.0
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Ai Candy;1972-10-31;1972-10-31;Tokyo, Japan;;;;;;1972;;Japanese;;Brown;;Ai;Black;;;Ai Iijima;Iijima, Ai;Ai Iijima;;;;Tokyo, Japan;;;Iijima;43.0
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1982-12-24;1982-12-24;Japan;Shiga;Shiga_Prefecture;Japan;;;1982-12-24;;Japanese_people;Japanese_people;Brown;;Ai;Brown;1905566;;Ai Kurosawa;Kurosawa, Ai;Ai Kurosawa;;;;Japan;Shiga;;Kurosawa;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1990-02-28;1990-02-28;Arizona;United_States;Arizona;United_States;;;1990-02-28;Pornographic film actress;White_people;White_people;;female;Aiden;Brown;aidenashley;;Aiden Ashley;Ashley, Aiden;Aiden Ashley;;29;;Arizona, United States;;Pornographic film actress;Ashley;47.628
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Aiden Star, Lolita LeMarchand, Lolita Lemarchand;1979-08-27;1979-08-27;New_Jersey;USA;United_States;New_Milford,_New_Jersey;;;1979-08-27;American pornographic actor;Caucasian;;;female;Aiden;Blonde;40622;AidenStarr;Aiden Starr;Starr, Aiden;Aiden Starr;;182;;New_Jersey;USA;American pornographic actor;Starr;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;AIKA;1975-11-02;1975-11-02;Japan;Kanagawa_Prefecture;Japan;Kanagawa_Prefecture;;;1975-11-02;;Japanese_people;Japanese_people;;;Aika;;594229;;Aika Miura;Miura, Aika;Aika Miura;;;;Japan;Kanagawa_Prefecture;;Miura;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1977-05-14;1977-05-14;Cranston,_Rhode_Island;United_States;Cranston,_Rhode_Island;Rhode_Island;;;1977-05-14;American glamour model and pornographic actress;White_people;Whites;Blue;female;Aimee;Burgundy red;32297;AimeeSweet;Aimee Sweet;Sweet, Aimee;Aimee Sweet;;8;;Cranston,_Rhode_Island;United_States;American glamour model and pornographic actress;Sweet;56.7
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1964;;;;;;;;1965;American female adult model;;;Brown;;;Platinum_Blonde;;;Air Force Amy;Air Force Amy;;;;;Ohio;;American female adult model;;52.164
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;;;;;;;;;Caucasian;;Brown;female;;Brown/blond;624;Aja;Aja;Aja;;;261;;;;;;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Aki Tomozaki;1969-09-16;1969-09-16;Akita_Prefecture;Japan;Akita_Prefecture;Japan;;;1969-09-16;;Japanese_people;Japanese_people;;;Aki;Black;;;Aki Tomosaki;Tomosaki, Aki;Aki Tomosaki;;over 250;;Akita_Prefecture;Japan;;Tomosaki;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Acky;1984-03-03;1983-03-03;Japan;Tokyo;Japan;Tokyo;;;1984-03-03;Japanese actor;Japanese_people;Japanese_people;Brown;;Akiho;Brown;;;Akiho Yoshizawa;Yoshizawa, Akiho;Akiho Yoshizawa;;;;Japan;Tokyo;Japanese actor;Yoshizawa;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Akira Seto,;1980-07-02;1980-07-02;Japan;Tokyo;Japan;Tokyo;;;1980-07-02;Japanese pornographic actor;Japanese_people;Japanese_people;Brown;;Akira;Brown;2201313;;Akira Watase;Watase, Akira;Akira Watase;;;;Japan;Tokyo;Japanese pornographic actor;Watase;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Felix Wallace;1983-08-08;1983-08-08;B%C3%ADlovec;Czech_Republic;B%C3%ADlovec;Czech_Republic;;;1983-08-08;;Caucasian_Race;Caucasian_race;Green;;Alan;Blond;;;Alan Capier;Capier, Alan;Alan Capier;;about 50;;B%C3%ADlovec;Czech_Republic;;Capier;60.0
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Alan Ke;1981-01-22;1981-01-22;;;;;China;People's_Republic_of_China;1981-01-22;;;;;;Alan;;;;2005;Alan Ko;Ke, Alan;No Fear;;Actor;;;;Ke;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1968-01-01;1968-01-01;Hong_Kong;China;Hong_Kong;;China;People's_Republic_of_China;1;;;;;;Alan;;;;Alan Mak;Mak, Alan;Alan Mak;;;Actor;Hong_Kong;;;Mak;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1976-07-16;;California;California, USA;;;;;1976;American pornographic actor;Caucasian;;;male;Alan;Brown;45959;AlanStafford;Alan Stafford;Stafford, Alan;Alan Stafford;;;;California, USA;;American pornographic actor;Stafford;73.4832
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Lucky Lun;1950-08-23;;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;1950;1980.0;;;;;Alan;;;;Alan Tam;Tam, Alan;Alan Tam;taam4 wing6 leon4;;Actor;Hong_Kong;;;Tam;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;The Student Prince (學生王子);1946-09-20;;China;Guangdong;Guangzhou;Guangdong;China;People's_Republic_of_China;1946;;;;;;Alan;;849257;;Alan Tang;Tang, Alan;Alan Tang;Dang6 Gwong1 Wing4;;Actor;China;Guangdong;;Tang;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1976-03-31;;Singapore;;;;China;People's_Republic_of_China;;;;;;;Alan;;1695167;;Alan Tern;Tern, Alan;Alan Tern;Táng Yùshū;;Actor;;;;Tern;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alana, Jenna Talia;1976-07-06;1976-07-06;Fort_Campbell;Fort_Campbell,_Kentucky;United_States;Fort_Campbell;;;1976-07-06;American pornographic actor;Welsh_American;Welsh_American;Blue;female;Alana;Blonde;19722;Alana;Alana Evans;Evans, Alana;Alana Evans;;392;;Fort_Campbell;Fort_Campbell,_Kentucky;American pornographic actor;Evans;49.896
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alaura, Allura Eden, Aldora Eden, Alura Eden;1977-06-13;1977-06-13;California;San_Francisco;United_States;United_States_of_America;;;1977-06-13;American pornographic actor;Japanese/Finnish;;Brown;female;Alaura;Brown;30150;AlluraEden;Alaura Eden;Eden, Alaura;Alaura Eden;;200;;California;San_Francisco;American pornographic actor;Eden;54.8856
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Abcadel Monte;;;Seville;Spain;Seville;Spain;;;1975;;White_people;White_people;Brown;female;Alba;Black;6424;AMonte;Alba Del Monte;Del Monte, Alba;Alba Del Monte;;;;Seville;Spain;;Del Monte;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alex Metro;1966-01-18;;New_Orleans;New_Orleans,_Louisiana;United_States;New_Orleans;;;1966;American pornographic actor;Caucasian;;;male;Alec;Black;579;AMetro;Alec Metro;Metro, Alec;Alec Metro;;;;New_Orleans;New_Orleans,_Louisiana;American pornographic actor;Metro;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alec Shields, Alex Powers;1975;;Texas;;;;;;1975;;;;;male;Alec;;6019;APowers;Alec Powers;Powers, Alec;Alec Powers;;50;;Texas;;;Powers;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Su You Peng, Tommy Su;1973-09-11;1973-09-11;Republic_of_China;Taipei;Taiwan;Republic_of_China;China;People's_Republic_of_China;1973-09-11;;;;;;Alec;;;;Alec Su;Su, Alec;Alec Su;Sū Yǒupéng;;Actor;Republic_of_China;Taipei;;Su;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1983-06-09;1983-06-09;Phoenix,_Arizona;United_States;Phoenix,_Arizona;United_States;;;1983-06-09;American pornographic actor;Caucasian;;Green;female;Alektra;Black;36940;Alektra;Alektra Blue;Blue, Alektra;Alektra Blue;;200;;Phoenix,_Arizona;United_States;American pornographic actor;Blue;49.896
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1988-08-06;1988-08-06;Hungary;Koml%C3%B3;Hungary;Koml%C3%B3;;;1988-08-06;Pornographic film actor;Hungarian_people;Hungarian_people;;female;Aleska;Blond;aleska;;Aleska Diamond;Diamond, Aleska;Aleska Diamond;;105;;Komló, Hungary;;Pornographic film actor;Diamond;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Artemis Gold, Aletta Florencia, Aletta Alien, Aletta, Doris;1987-12-14;1987-12-14;Budapest;Budapest,_Hungary;Budapest;Budapest,_Hungary;;;1987-12-14;Pornographic film actor, adult model;Caucasian;;Blue;female;Aletta;Brown;46968;;Aletta Ocean;Ocean, Aletta;Aletta Ocean;;176;;Budapest;Budapest,_Hungary;Pornographic film actor, adult model;Ocean;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Lex Baldwin, Talon Ricky, Keith Rivera, Talon, Keith Talon, Talon Valenti;1969-11-11;1969-11-11;Long_Island;New_York_City;New_York_City,_New_York;Long_Island;;;11;American pornographic actor;Caucasian_race;Latin;Hazel;;Alex;Black;;;Alex Baldwin;Baldwin, Alex;Alex Baldwin;;688;;Long_Island;New_York_City;American pornographic actor;Baldwin;90.72
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Richard Gere of Hong Kong;1963-03-17;1963-03-17;Macau;Macau;;;China;People's_Republic_of_China;1963-03-17;;;;;;Alex Chung Sun;;284533;;Alex Fong;Fong, Alex Chung Sun;Alex Chung Sun Fong;Alex Fong;;Actor;Macau;;;Fong;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Siu Fong (小方);1980-02-26;1980-02-26;Hong_Kong_at_the_2000_Summer_Olympics;Hong Kong;;;China;People's_Republic_of_China;26;;;;;;Alex;;1159570;;Alex Fong;Fongliksun, Alex;Alex Fong;Alex Fongliksun;;Singer/actor;Hong Kong;;;Fongliksun;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alex Jordon;1967-09-20;1967-09-20;California;USA;United_States;California;;;1967-09-20;American pornographic actor;White_people;Whites;Brown;female;Alex;Blonde;222;AJordan;Alex Jordan;Jordan, Alex;Alex Jordan;;;;California;USA;American pornographic actor;Jordan;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1966-03-07;;Michigan;United_States;Rochester, Michigan , United States;;;;1966;;Caucasian;;Green;male;Alex;Dark Blonde;108;ASanders;Alex Sanders;Sanders, Alex;Alex Sanders;;;;Rochester, Michigan , United States;;;Sanders;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1970-11-26;1970-11-26;Argentina;Buenos_Aires;Argentina;Buenos_Aires;;;1970-11-26;American pornographic actor;;;Brown;female;Alex;Brown;1046;AlexTaylor;Alex Taylor;Taylor, Alex;Alex Taylor;;;;Argentina;Buenos_Aires;American pornographic actor;Taylor;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;To Tak-wai;1962-02-10;1962-02-10;Hong Kong;;;;China;People's_Republic_of_China;10;;;;;;Alex;;;;Alex To;To, Alex;Alex To;du4 de2 wei3;;Singer, actor;Hong Kong;;;To;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1935-08-13;1935-08-13;Brooklyn;New_York;New_York_City;United_States;;;1935-08-13;;Caucasian;;;;Alex de;;211108;;Alex de Renzy;Renzy, Alex de;Alex de Renzy;;;;Brooklyn;New_York;;Renzy;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alexia Nicole;1990-04-04;1990-04-24;Orange_County,_California;Orange County, CA, USA;;;;;1990-04-04;American pornographic actor;Latin;;Brown;female;Alexa;Brunette;54596;AlexaNicole;Alexa Nicole;Nicole, Alexa;Alexa Nicole;;;;Orange_County,_California;;American pornographic actor;Nicole;47.628
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alexa Ray;;;Atlanta;Georgia_(U.S._state);United_States;Atlanta;;;;American pornographic actor;;;Blue;female;Alexa;Red;3202;AlexaRay;Alexa Rae;Rae, Alexa;Alexa Rae;;100;;Atlanta;Georgia_(U.S._state);American pornographic actor;Rae;51.7104
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;;;;;;;;American pornographic actor;;;;;Alexander;;;;Alexander Devoe;Devoe, Alexander;Alexander Devoe;;;;;;American pornographic actor;Devoe;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1954-10-20;1954-10-20;Hong_Kong;Hong_Kong;;;China;People's_Republic_of_China;20;Popular Hong Kong martial arts film star in the 1970s from the Shaw Brothers studio.;;;;;Alexander Fu;;297143;;Alexander Fu Sheng;Sheng, Alexander Fu;Alexander Fu Sheng;傅声;;Actor;Hong_Kong;;1970.0;Sheng;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alexandra Nice, Aleksandra Nice, Alexsandra Nice, Alexandria Nice, Aleksandra;1972-10-31;1972-10-31;Gdynia;Poland;Gdynia;Poland;;;1972-10-31;;Slavic_peoples;Slavic;Brown;female;Alexandra;Auburn_hair;319;ANice;Alexandra Nice;Nice, Alexandra;Alexandra Nice;;207;;Gdynia;Poland;;Nice;55.7928
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Dianne Colazzo, Alexandria Dunn, Alexandra Quin, Alexandra Quinn, Alex Quinn, Victoria Quinn, Alexandria Stewart, Diane Stewart, Dianne Stewart;1973-03-25;;;;;;;;1973;;Caucasian;;Blue;female;Alexandra;Auburn;1576;AQuinn;Alexandra Quinn;Quinn, Alexandra;Alexandra Quinn;;211;;;;;Quinn;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alexandra Silk, Alex, Silky;1963-09-19;;Long_Island;Long_Island,_New_York;Long Island, New York, U.S.;;;;1963;American pornographic actor;Caucasian_race;Caucasian_race;Blue;female;Alexandra;Brown;2;ASilk;Alexandra Silk;Silk, Alexandra;Alexandra Silk;;359;;Long Island, New York, U.S.;;American pornographic actor;Silk;46.7208
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;VooDoo Child / Voodoo / Voo Doo / Alex Torres / Lex;2001-09-11;1977-09-24;NYC;New_York_City;Toronto;Toronto,_Ontario,_Canada;;;2001-09-11;;French Canadian, Caucasian;;Green;;Daniel;Brown;12575;VChild;Tosh, Daniel;Voodoo;Daniel Tosh;Voodoo;;;NYC;New_York_City;;Tosh;61.6896
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alexis Amour, Alexis Lamore;1978-12-29;;Lima;Lima,_Peru;Lima;Lima,_Peru;;;1978;American pornographic actor;Peru;Peruvian;Brown;female;Alexis;Black;24280;AlexisAmore;Amore, Alexis;Alexis Amore;;;290;;Lima;Lima,_Peru;American pornographic actor;Amore;51.0
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Foxy Roxy, Trina, Donna, Deidre and Bella Julia;;;California;United_States;California;United_States;;;1964;American pornographic actor;;;Hazel with a dark grey ring;female;Alexis;Auburn_hair;AlexisFire;;Alexis Fire;Fire, Alexis;Alexis Fire;;40;;California;United_States;American pornographic actor;Fire;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alexa Love;1988-04-07;1987-04-07;Sacramento,_California;Sacramento,_California;;;;;1988-04-07;American pornographic actor, adult model;Latina;;Brown;female;Alexis;Brown;43708;AlexisLove;Alexis Love;Love, Alexis;Alexis Love;;180;;Sacramento,_California;;American pornographic actor, adult model;Love;42.6384
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1985-05-25;;Castroville,_Texas;Panama;Panama, raised Brownwood, Texas;;;;1985;American pornographic actor;Caucasian;Germans;Blue;female;Alexis;Brown;AlexisTexas;;Alexis Texas;Texas, Alexis;Alexis Texas;;398;;Panama, raised Castroville, Texas;;American pornographic actor;Texas;58.5144
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1974-11-10;;Rio_de_Janeiro;Rio_de_Janeiro;;;;;1974;;Italian_Brazilian;Italian_Brazilian;Brown;;Alexsander;Black;AlexsanderFreitas;;Alexsander Freitas;Freitas, Alexsander;Alexsander Freitas;;;;Rio_de_Janeiro;;;Freitas;81.1944
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;1983-11-23;1983-11-23;California;San_Jose,_California;California;San_Jose,_California;China;People's_Republic_of_China;1983-11-23;;;;;;Alfred;;;;Alfred Hsing;Hsing, Alfred;Alfred Hsing;Xíng Sījié;;Actor;California;San_Jose,_California;;Hsing;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Little Dentist (牙醫仔);1988-04-29;1988-04-29;Hong_Kong_people;;;;China;People's_Republic_of_China;29;Actor;;;;;Alfred;;;;Alfred Hui;Hui, Alfred;Alfred Hui;Heoi2 Ting4 Hang1;;Actor, singer;Hong Kong;;Actor;Hui;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;;;;;;;;China;People's_Republic_of_China;;;;;;;Alice;;;;Alice Au;Au, Alice;Alice Au;Ōu Yànqīng;;Actress;;;;Au;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;"Wai Gor (; lit. \Big Brother Wai\)";1973-11-21;1973-11-21;China;Shanghai;China;Shanghai;China;People's_Republic_of_China;21;Actress;;;;;Alice;;chanwai1121;;Alice Chan;Chan, Alice;Alice Chan;Can4 Wai5;;Actor;Shanghai, China;;Actress;Chan;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;1985-12-13;;;;;;;;1985;glamour model;;;Hazel;;Alice;Black;;;Alice Goodwin;Goodwin, Alice;Alice Goodwin;;;;London;;Glamour_model;Goodwin;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Kai Kai;1984-04-22;;Republic_of_China;Taiwan;Taiwan;;China;People's_Republic_of_China;1984;;;;;;Alice;;;;Alice Tzeng;Tzeng, Alice;Alice Tzeng;Tseng Kai-Xuan;;Actor;Republic_of_China;Taiwan;;Tzeng;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alica, Vicki, Alicia Allghetti, Alicia Allighotti, Alicia Alghatti, Alicia Allighetti, Alicia Alighotti, Alicia Alligatti;1984-06-21;;Easton,_Pennsylvania;;;;;;;Pornographic actress;Caucasian;;Hazel;;Alicia;Brown;39488;AliciaAlghatti/gender=f/Alicia-Alighatti;Alicia Alighatti;Alighatti, Alicia;Alicia Alighatti;;139;;;;Pornographic actress;Alighatti;54.8856
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alisha;;;England;Manchester;United_Kingdom;England;;;1978;;English_people;English_people;Blue;female;Alicia;Blonde;30147;AliciaRhodes;Alicia Rhodes;Rhodes, Alicia;Alicia Rhodes;;401;;England;Manchester;;Rhodes;51.7104
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Alyssa Rio, Kora, Malia, Elicia Rio;;;;;;;;;1970;;Mexican;;Brown;female;Alicia;Black;162;ARio;Alicia Rio;Rio, Alicia;Alicia Rio;;292;;;;;Rio;
Actor;Agent;Artist;Person;Person;owl#Thing;core#Concept;Person;Xiao Gui (小鬼);1983-11-28;1983-11-28;;;;;China;People's_Republic_of_China;28;;;;;;Huang;;;;Alien Huang;Hong-Sheng, Huang;Alien Huang;Huang Hong-Sheng;;Actor;;;;Hong-Sheng;
Actor;Agent;Artist;Person;Person;owl#Thing;Person;;Paulyn Sun, Pauline Suen;1974-09-11;1974-09-11;Singapore;Singapore;;;China;People's_Republic_of_China;1974-09-11;;;;;;Alien;;;;Alien Sun;Sun, Alien;Alien Sun;Syun1 Gaai1-gwan1;;Actress;Singapore;;;Sun;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Enrika Dolls, Enrika, Erika, Alina, Alina Blue, Crystal, Ellie, Eve, Nicole, Selena;1987-12-18;;Romania;Vaslui;Romania;Vaslui;;;1987;Porn actress;Romanian;;Brown;female;Alina;Blond;Enrika_EU_06;;Alina Plugaru;Plugaru, Alina;Alina Plugaru;;;;Romania;Vaslui;Actor;Plugaru;51.7104
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;California;Chino,_California;United_States;California;;;;American pornographic actor;;;Blue;female;Alisha;Brown;884;AKlass;Alisha Klass;Klass, Alisha;Alisha Klass;;58;;California;Chino,_California;American pornographic actor;Klass;
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;;;;;;;;;;;American pornographic actor;Latino;Latino_(demonym);Green;female;Allanah;Brunette;39203;;Allanah Starr;Starr, Allanah;Allanah Starr;;Approx. 20;;;;American pornographic actor;Starr;72.576
Actor;AdultActor;Agent;Artist;Person;Person;owl#Thing;Person;Brittany Joy;1987-05-10;1987-05-10;Montana;Montana;United_States;;;;1987-05-10;Pornographic film actor;Caucasian/Latin;;;female;Allie;;AllieHaze;;Allie Haze;Haze, Allie;Allie Haze;;98;;Montana;;Pornographic film actor;Haze;54.8856
